model,RPS,RMSE,Acc,F1
ANN (64-32),0.20448447128397976,1.597251286973826,0.5194805194805194,0.38468965004645367
ANN (128-64),0.205611556361097,1.5989289427910773,0.5270562770562771,0.39444074894059905
k-NN (k=50),0.20619437229437232,1.6093636988423454,0.5205627705627706,0.42597726513557294
k-NN (k=30),0.20656415343915363,1.6192918763633013,0.5108225108225108,0.43225139204358803
ANN (256-128-64),0.20658709947196363,1.5979055023675302,0.5227272727272727,0.38943164666351143
k-NN (k=20),0.20951298701298693,1.633236286762656,0.5043290043290043,0.4424247172491791
k-NN (k=10),0.21764880952380894,1.6779574266175903,0.49567099567099565,0.45027131357317546
Naive Bayes,0.2202937378145201,1.6284073553948473,0.5173160173160173,0.3978697462731722
Null (avg distribution),0.2317133688702325,1.6915081778250718,0.43993506493506496,0.2036828260052612
k-NN (k=5),0.23562770562770474,1.760202172567597,0.46645021645021645,0.43444549979657227
